4006401 La-Foux-d-Allos--S 2050 1790	2 1983-12-20-00-00 
4019400 Pra-Loup 1630 2378	1 1971-12-22-00-00 1990-03-31-00-00
4019402 Pra-Loup 2150 2378	1 1990-12-20-00-00 1996-04-17-00-00
4205400 Col-St-Jean 2100 2394	1 1989-02-26-00-00 1995-03-05-00-00
5001401 Abries--S 2000 1754	2 1985-02-05-00-00 
5023404 Briancon 1324 1678	1 1995-12-01-00-00 2004-05-31-00-00
5026401 Ceillac--S 2300 1656	2 1983-12-27-00-00 
5027401 Cervieres--S 2160 1850	2 1991-12-09-00-00 
5058400 Dormillouse 1680 2394	1 1989-02-24-00-00 1989-04-13-00-00
5063403 Le-Chazelet 1750 1860	1 1991-12-23-00-00 1994-03-19-00-00
5063404 Peyroux-d-Amont--S 2416 1909	2 1997-01-10-00-00 
5063406 La-Grave 1477 1945	1 1997-10-27-00-00 2005-07-11-00-00
5096400 Orcieres 1900 1310	1 1973-12-17-00-00 1992-04-22-00-00
5098400 Les-Orres 1660 1110	1 1973-12-01-00-00 2002-12-09-00-00
5114401 REALLON 2120 1392	1 2005-12-01-00-00 2007-07-31-00-00
5120401 Ristolas 1600 1754	1 1977-12-12-00-00 1984-04-30-00-00
5161400 Villeneuve-la-Salle 2500 2262	1 1986-01-01-00-00 2001-04-30-00-00
5177401 Vars--S 2270 1490	2 1983-12-27-00-00 
6073400 Isola 1860 1984	1 1972-01-01-00-00 2014-07-31-00-00
6073401 Isola--S 2235 2596	2 1990-12-14-00-00 
6119001 ST-DALMAS-LE-SE 1500 1945	7 1931-01-01-00-00 2002-12-31-00-00
6120401 Auron--S 2100 1980	2 1983-12-27-00-00 
6120403 Auron 1600 1133	1 1972-12-18-00-00 1982-03-21-00-00
6163005 TENDE-CASTERINO 1554 1802	7 1982-06-01-00-00 2007-12-31-00-00
6163401 Val-Casterino--S 1920 1709	2 1990-12-13-00-00 2012-07-31-00-00
26290401 Col-du-Rousset--S 1418 1532	2 2001-12-28-00-00 
38002400 Prapoutel-Pipay 1345 1079	1 1972-01-13-00-00 1994-04-03-00-00
38002404 Prapoutel 1840 1079	1 1995-01-03-00-00 1996-04-14-00-00
38002405 Prapoutel 1570 1079	1 1996-11-30-00-00 2004-12-15-00-00
38005400 Le-Rivier-d-Allemond 1270 760	1 1991-12-04-00-00 1992-05-01-00-00
38052400 Bourg-d-Oisans 730 1830	1 1986-12-01-00-00 2001-12-31-00-00
38191402 L-Alpe-d-Huez-2700 2700 2238	1 1989-12-01-00-00 1991-01-02-00-00
38191408 L-Alpe-d-Huez-2350 2350 2238	1 1990-12-21-00-00 
38191409 L-Alpe-d-Huez-2350--S 2450 2238	2 1990-12-24-00-00 
38395404 St-Hilaire-Gelinottes 1180 981	1 2000-01-01-00-00 2009-04-30-00-00
38442401 St-Pierre-de-Chartreus 1550 1670	2 1987-01-06-00-00 
38469400 La-Salette 1770 1431	1 1983-12-12-00-00 1990-04-30-00-00
38548401 Villard-cote-2000--S 1950 1798	2 1988-12-26-00-00 
38567405 Chamrousse-Robert 1980 1143	1 1997-12-18-00-00 2000-04-25-00-00
73004401 Les-Aillons-(Margeriaz 1700 1280	2 1987-01-21-00-00 
73040400 Bessans 1707 2093	1 1980-12-15-00-00 
73047402 Bonneval-sur-Arc--S 2450 1830	2 1995-01-21-00-00 
73071404 CHAMPAGNY 1950 1667	1 1987-12-20-00-00 2008-12-31-00-00
73123400 La-Giettaz 1165 1335	1 1990-12-19-00-00 2009-12-01-00-00
73123401 La-Giettaz--S 1900 1590	2 1990-12-18-00-00 
73194400 Orelle--S 2450 2615	2 1997-02-15-00-00 
73206401 Pralognan--S 1950 2135	2 1983-12-20-00-00 
73206402 Pralognan-(CRS) 1410 1568	1 1983-12-12-00-00 1989-04-30-00-00
73235401 St-Francois-Longchamp 1930 1811	2 1988-02-06-00-00 
73257401 Les-Menuires--S 2380 2482	2 1983-12-20-00-00 
73280403 ST-SORLIN--S 2500 2212	2 2017-01-11-00-00 
73304400 La-Daille 1795 1978	1 1970-12-17-00-00 1990-03-18-00-00
73306404 Valloire--S 2300 1871	2 2003-01-10-00-00 
