num_poste alti massif_nivo nom_usuel lat_dg lon_dg datouvr datferm exposition_nivo pente_nivo type_nivo massif_bdclim
1419001 605 57 THOIRY 46.241667 5.968333 1994-09-09 2002-08-18 0.0 0 8 99
4006004 1370 22 ALLOS 44.226667 6.631667 2001-11-01 2010-04-30 0.0 0 8 22
4006006 2020 22 ROUGNOUS-VERDON-EDFNIVO 44.245000 6.556500 2004-09-16 2199-12-31 120.0 20 8 22
4006400 1900 22 LA-FOUX-D-ALLOS_NIVO 44.289833 6.561667 1971-12-01 2199-12-31 240.0 0 1 22
4006403 1810 22 LA-FOUX-D-ALLOS-MARCELLE 44.280000 6.580000 2001-08-03 2012-12-31 240.0 0 1 22
4006404 2359 22 LA-FOUX-D-ALLOS--S2- 44.286333 6.542000 2024-12-01 2199-12-31 40.0 5 2 22
4019001 1155 21 BARCELONNETTE 44.391167 6.670167 1923-01-01 2199-12-31 0.0 0 8 21
4019400 1630 21 Pra-Loup 44.350000 6.580000 1971-12-22 1990-03-31 340.0 0 1 21
4019401 2120 21 PRA-LOUP--S- 44.357333 6.583833 1989-03-10 2199-12-31 30.0 0 2 21
4019402 2150 21 Pra-Loup 44.350000 6.580000 1990-12-20 1996-04-17 340.0 0 1 21
4019403 2085 21 LE-SAUZE--S- 44.352667 6.720000 1986-01-27 2199-12-31 310.0 0 2 21
4019404 2100 21 PRA-LOUP_NIVO 44.360000 6.584667 1996-12-20 2199-12-31 360.0 0 1 21
4062001 1310 21 LA-CONDAMINE-EDF 44.460000 6.742167 1931-08-01 2199-12-31 0.0 0 7 21
4062400 2333 21 STE-ANNE-CONDAMINE--S- 44.458833 6.701500 2010-12-08 2199-12-31 90.0 0 2 21
4073400 1980 21 LE-SAUZE_NIVO 44.343833 6.695000 2013-12-09 2199-12-31 360.0 5 1 21
4096001 1510 21 JAUSIERS 44.405000 6.761667 1960-08-01 2007-03-31 0.0 0 7 20
4096401 2550 21 RESTEFOND-NIVOSE 44.340000 6.800000 1995-09-27 2199-12-31 360.0 0 3 21
4099001 1123 27 LAMBRUISSE 44.042833 6.445500 1952-09-01 2021-01-01 0.0 0 7 22
4100400 1600 21 Larche 44.450000 6.850000 1981-12-14 1994-04-28 180.0 0 1 21
4102004 1070 21 LAUZET(LE) 44.441667 6.426667 1991-02-01 1993-02-28 0.0 0 7 20
4115001 1090 22 MEAILLES_SAPC 44.031167 6.629500 2007-05-10 2199-12-31 0.0 0 8 22
4126001 1197 26 MONTCLAR_SAPC 44.391833 6.333333 2007-06-26 2199-12-31 0.0 0 8 99
4136001 920 27 LA-MURE-ARGENS 43.977000 6.520167 2005-06-29 2199-12-31 0.0 0 8 99
4173001 890 27 ST-ANDRE 43.968333 6.511667 1927-03-01 1994-12-31 0.0 0 7 22
4173002 882 27 ST-ANDRE-ALPES 43.958333 6.511667 1990-06-01 2005-06-30 0.0 0 8 22
4193002 1908 21 ST-PAUL 44.593000 6.843333 1960-11-01 2018-12-31 0.0 0 7 21
4193007 1907 21 SAINT-PAUL-SUR-UBAYE-EDF 44.592500 6.843333 2007-04-01 2199-12-31 0.0 0 8 21
4193008 1980 21 PASSAUR-EDFNIVO 44.593000 6.859333 2002-11-08 2199-12-31 310.0 20 8 21
4193400 1908 21 MALJASSET_NIVO 44.593000 6.843333 1980-12-01 2026-07-08 0.0 0 1 21
4205001 1210 26 SEYNE 44.351500 6.364500 1928-03-01 2199-12-31 0.0 0 7 21
4205400 2100 22 Col-St-Jean 44.300000 6.500000 1989-02-26 1995-03-05 60.0 0 1 21
4219004 1153 22 THORAME-HAUTE-EDF 44.095000 6.551667 2007-04-01 2199-12-31 0.0 40 8 22
4226001 1660 21 UVERNET-FOURS 44.319167 6.693000 1954-11-01 2022-12-31 0.0 0 7 21
5001003 1565 17 ABRIES-EDF 44.794167 6.928167 2007-04-01 2199-12-31 0.0 0 7 17
5001400 2018 17 ABRIES_NIVO 44.792833 6.947000 1985-12-23 2199-12-31 290.0 0 1 17
5001401 2070 17 ABRIES--S- 44.791333 6.949667 1985-02-05 2199-12-31 220.0 0 2 17
5001402 2466 17 REFUGE-DU-VISO 44.700000 7.051667 2021-10-04 2199-12-31 250.0 10 1 17
5004001 1354 19 ANCELLE 44.624500 6.209833 1895-01-01 2199-12-31 0.0 0 7 19
5007001 1690 17 ARVIEUX-LA-CHALP 44.781167 6.736667 1946-06-01 2199-12-31 0.0 0 7 17
5007003 1825 17 ARVIEUX 44.796000 6.728000 2007-07-05 2199-12-31 0.0 5 8 17
5007400 2078 17 ARVIEUX-S- 44.776667 6.754000 2001-08-01 2199-12-31 320.0 0 2 17
5023001 1324 13 BRIANCON 44.908333 6.635000 1931-01-01 2005-12-31 0.0 0 7 16
5023004 1210 13 BRIANCON-CM 44.896667 6.633000 1978-05-02 2020-01-01 0.0 0 9 99
5023400 1215 17 ENQUETE-AVALANCHE-CMAS--S- 44.891667 6.650000 1988-02-21 2199-12-31 0.0 0 2 105
5023401 1215 17 OCCASIONNEL-CMAS--S- 44.891667 6.650000 1985-01-07 2199-12-31 0.0 0 2 105
5023403 2122 16 SERRE-CHE-BRIANCON-PROREL--S- 44.901167 6.594833 1990-12-11 2199-12-31 40.0 0 2 16
5023404 1324 13 Briancon 44.910000 6.640000 1995-12-01 2004-05-31 220.0 0 1 16
5026001 1665 17 CEILLAC 44.671167 6.776167 1931-01-01 2199-12-31 0.0 0 7 17
5026400 1665 17 CEILLAC_NIVO 44.671167 6.776167 1979-12-10 2199-12-31 110.0 0 1 17
5026401 2300 21 CEILLAC--S- 44.627000 6.802000 1983-12-27 2199-12-31 360.0 0 2 17
5027001 1614 17 CERVIERES 44.869333 6.723500 1931-01-01 2199-12-31 0.0 0 7 17
5027002 2280 17 IZOARD-EDFNIVO 44.822000 6.730333 2002-10-30 2199-12-31 20.0 10 8 17
5027401 2150 17 CERVIERES--S- 44.828500 6.724000 1991-12-09 2199-12-31 360.0 0 2 17
